"Genera","Step_I","Step_II","Step_III_m","Step_III_f","Step_IV"
"actinomyces","5","4","4","9","10"
"saccharofermentans","29","54","4","5","3"
"subdoligranulum","0","0","0","10","6"
"rickettsiella","0","0","0","5","4"
"turicibacter","0","0","7","3","4"
"rhizobium","0","0","0","6","8"
"desulfocaldus","0","10","9","8","7"
"alkalibacterium","7","16","29","4","3"
"anaerolinea","4","3","2","8","8"
"phenylobacterium","0","0","0","7","0"
"anaerotruncus","2","2","0","7","6"
"selenomonas","2","3","0","8","9"
"actinobaculum","0","0","0","5","0"
"roseburia","0","0","0","6","2"
"succinispira","0","0","0","8","3"
"magnetospirillum","0","0","0","0","10"
"lachnoclostridium","0","0","0","4","3"
"corynebacterium","8","2","4","5","5"
"prevotella","0","3","0","2","4"
"vibrio","0","0","0","2","4"
"chloroflexus","0","2","0","0","4"
"brooklawnia","0","0","0","0","6"
"parvibaculum","0","0","0","0","8"
"delftia","0","0","0","0","5"
"candidatusbrocadia","6","12","0","2","4"
"azospirillum","0","0","0","0","5"
"novispirillum","0","0","2","0","10"
"pannonibacter","0","0","0","3","2"
"methylocystis","0","0","0","2","3"
"alicyclobacillus","0","0","0","3","2"
"candidatusmetachlamydia","0","0","2","7","0"
"lactivibrio","58","42","234","115","86"
"ethanoligenens","33","69","0","3","2"
"ralstonia","0","0","0","2","3"
"roseomonas","0","0","0","0","9"
"methylobacterium","0","0","0","0","5"
"shewanella","0","0","0","0","5"
"thermogymnomonas","43","9","0","3","2"
"acetanaerobacterium","0","0","0","6","3"
"thermofilum","0","0","0","5","2"
"butyrivibrio","0","0","0","4","0"
"catenibacterium","0","0","0","4","0"
"tannerella","0","0","0","4","0"
"brachymonas","2","2","0","2","6"
"thermanaerothrix","0","2","4","0","3"
"chlamydia","0","0","0","0","5"
"rhodoplanes","0","0","0","2","3"
"thermincola","0","0","0","2","2"
"oligosphaera","0","0","0","0","4"
"chitinophaga","0","4","0","2","0"
"enterococcus","0","0","0","2","5"
"uruburuella","0","0","0","0","5"
"sporobacter","0","0","0","4","0"
"thiofractor","5","0","0","0","3"
"sphingopyxis","0","0","0","3","2"
"azonexus","0","0","0","5","14"
"rhodoblastus","0","0","0","0","2"
"chelatococcus","0","0","0","0","2"
"ruminiclostridium","0","0","0","3","0"
"thermomonas","8","0","0","5","2"
"bacteriovorax","2","0","0","4","0"
"methylonatrum","0","3","0","0","4"
"holdemanella","0","0","0","3","0"
"enterorhabdus","0","0","0","2","0"
"candidatusodyssella","0","0","0","2","0"
"megasphaera","0","0","0","0","3"
"oribacterium","0","0","0","3","0"
"propionivibrio","0","0","0","2","2"
"diaphorobacter","7","3","0","6","5"
"erysipelothrix","2","7","4","2","0"
"klebsiella","0","0","0","2","0"
"lactobacillus","0","0","0","2","0"
"denitrovibrio","0","0","0","0","2"
"leucobacter","0","0","0","4","0"
"marinifilum","2","6","0","2","0"
"saccharibacter","0","4","0","5","0"
"kineococcus","0","0","0","2","0"
"proteiniphilum","0","0","0","4","2"
"pseudoxanthomonas","5","2","0","0","3"
"bosea","0","0","0","0","2"
"candidatusprotochlamydia","0","0","5","3","0"
"cupriavidus","0","0","0","0","2"
"rhodopseudomonas","0","0","0","2","0"
"gaiella","0","0","0","0","4"
"alishewanella","0","0","0","0","2"
"propionigenium","3","9","0","3","0"
"xanthomonas","0","0","0","0","2"
"streptobacillus","0","0","0","84","34"
"vulcanibacillus","0","0","0","0","3"
"porphyromonas","0","0","0","3","0"
"leptothrix","0","0","0","0","2"
"candidatussaccharimonas","0","0","0","2","0"
"caldithrix","542","247","4","0","0"
"phycisphaera","205","208","0","0","0"
"microbulbifer","281","3","0","0","0"
"gottschalkia","224","107","6","0","0"
"methylobacillus","310","39","0","0","0"
